rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,pooled,rn,68,15.094667,0.248333,1747.000000,1331.000000,0
1e-4,pooled,rn,69,7.437000,0.007667,3000.000000,1943.000000,1
1e-4,pooled,rn,70,8.480667,0.045333,3000.000000,2034.000000,1
1e-4,pooled,rn,71,13.059667,0.210333,1857.000000,1442.000000,0
1e-4,pooled,rn,72,8.913000,0.004333,3000.000000,1420.000000,1
1e-4,pooled,rn,73,16.394667,0.303667,1354.000000,783.000000,0
1e-4,pooled,rn,74,14.746000,0.152667,2628.000000,1308.000000,0
1e-4,pooled,rn,75,14.012333,0.349333,1310.000000,1359.000000,0
1e-4,pooled,rn,76,15.500000,0.154667,2774.000000,839.000000,0
1e-4,pooled,rn,77,14.498667,0.212333,1862.000000,1.000000,0
1e-4,pooled,rn,78,17.587667,0.529000,866.000000,990.000000,0
1e-4,pooled,rn,79,11.188333,0.143000,2312.000000,2069.000000,0
1e-4,pooled,rn,80,12.864333,0.112000,2765.000000,1913.000000,0
1e-4,pooled,rn,81,14.709667,0.157333,2657.000000,903.000000,0
1e-4,pooled,rn,82,10.308333,0.037667,3000.000000,1790.000000,1
1e-4,pooled,rn,83,10.592000,0.048333,3000.000000,1667.000000,1
1e-4,pooled,rn,84,8.333333,0.042333,3000.000000,1993.000000,1
1e-4,pooled,rn,85,13.778667,0.107333,2702.000000,1665.000000,0
1e-4,pooled,rn,86,14.971333,0.413333,1373.000000,1498.000000,0
1e-4,pooled,rn,87,15.739333,0.439333,1207.000000,1369.000000,0
1e-4,pooled,rn,88,12.835000,0.185333,2213.000000,1496.000000,0
1e-4,pooled,rn,89,5.748667,0.001000,3000.000000,2461.000000,1
1e-4,pooled,rn,90,13.595667,0.172000,2178.000000,1517.000000,0
1e-4,pooled,rn,91,11.122333,0.015333,3000.000000,946.000000,1
1e-4,pooled,rn,92,13.678000,0.052667,3000.000000,839.000000,1
1e-4,pooled,rn,93,12.965667,0.051667,3000.000000,1655.000000,1
1e-4,pooled,rn,94,13.505667,0.144667,2724.000000,1663.000000,0
1e-4,pooled,rn,95,12.598000,0.052000,3000.000000,1518.000000,1
1e-4,pooled,rn,96,13.318667,0.038000,3000.000000,1482.000000,1
1e-4,wide,wt,1,19.311000,0.857667,169.000000,232.000000,0
1e-4,wide,wt,2,18.864667,0.778667,288.000000,354.000000,0
1e-4,wide,wt,3,18.466000,0.712000,252.000000,298.000000,0
1e-4,wide,wt,4,19.366667,0.858333,201.000000,275.000000,0
1e-4,wide,wt,5,19.258667,0.858333,153.000000,211.000000,0
1e-4,wide,wt,6,18.359667,0.659667,290.000000,383.000000,0
