wiring,width,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
rn,pooled,92,16.579667,0.268667,925.000000,408.000000,0
rn,pooled,93,16.889000,0.298667,1300.000000,374.000000,0
rn,pooled,94,17.001667,0.494333,473.000000,298.000000,0
rn,pooled,95,16.651667,0.369667,945.000000,835.000000,0
rn,pooled,96,18.788000,0.745667,428.000000,499.000000,0
wt,wide,1,18.632000,0.839333,26.000000,38.000000,0
wt,wide,2,18.911000,0.863000,32.000000,39.000000,0
wt,wide,3,17.604667,0.728333,30.000000,75.000000,0
wt,wide,4,16.703000,0.683333,50.000000,240.000000,0
wt,wide,5,18.603000,0.818000,36.000000,60.000000,0
wt,wide,6,15.417333,0.576000,72.000000,203.000000,0
wt,wide,7,10.012333,0.342333,391.000000,393.000000,0
wt,wide,8,7.939000,0.179667,30.000000,23.000000,0
wt,wide,9,16.062667,0.615000,29.000000,18.000000,0
wt,wide,10,16.529000,0.688333,55.000000,105.000000,0
wt,wide,11,9.087000,0.323333,42.000000,23.000000,0
wt,wide,12,19.100667,0.872000,6.000000,133.000000,0
wt,wide,13,16.087000,0.639000,214.000000,57.000000,0
wt,wide,14,16.542333,0.597667,89.000000,11.000000,0
wt,wide,15,15.582667,0.624667,62.000000,82.000000,0
wt,wide,16,14.465667,0.569000,15.000000,30.000000,0
wt,wide,17,15.943000,0.652333,78.000000,111.000000,0
wt,wide,18,13.432667,0.555667,202.000000,286.000000,0
wt,wide,19,12.812333,0.477667,200.000000,140.000000,0
wt,wide,20,15.113667,0.565667,8.000000,13.000000,0
wt,wide,21,16.206000,0.692333,49.000000,5.000000,0
wt,wide,22,17.586667,0.726000,48.000000,48.000000,0
wt,wide,23,14.220000,0.549333,139.000000,274.000000,0
wt,wide,24,16.332000,0.652667,9.000000,3.000000,0
wt,wide,25,17.653000,0.706000,18.000000,22.000000,0
wt,wide,26,17.786667,0.758000,10.000000,236.000000,0
wt,wide,27,18.758333,0.831000,56.000000,90.000000,0
wt,wide,28,18.515333,0.820667,3.000000,17.000000,0
wt,wide,29,10.025667,0.321000,3.000000,2.000000,0
wt,wide,30,16.686667,0.671000,8.000000,10.000000,0
wt,wide,31,17.054667,0.685333,135.000000,115.000000,0
wt,wide,32,3.723333,0.119000,214.000000,1.000000,0
wt,wide,33,13.366667,0.454000,196.000000,139.000000,0
wt,wide,34,9.765000,0.318000,39.000000,10.000000,0
wt,wide,35,17.508667,0.734000,3.000000,9.000000,0
wt,wide,36,13.559000,0.521000,13.000000,306.000000,0
wt,wide,37,16.594667,0.688333,16.000000,18.000000,0
wt,wide,38,15.575333,0.617000,2.000000,2.000000,0
wt,wide,39,0.001000,0.000000,3000.000000,3000.000000,1
wt,wide,40,9.063333,0.340667,311.000000,148.000000,0
wt,wide,41,16.876333,0.700333,2.000000,2.000000,0
wt,wide,42,6.028333,0.089000,10.000000,1.000000,0
wt,wide,43,17.130000,0.708667,55.000000,113.000000,0
wt,wide,44,15.531667,0.599667,76.000000,43.000000,0
wt,wide,45,11.793667,0.353000,804.000000,71.000000,0
wt,wide,46,15.730667,0.635333,135.000000,1.000000,0
wt,wide,47,18.308333,0.811667,73.000000,187.000000,0
wt,wide,48,10.049667,0.364000,929.000000,976.000000,0
wt,wide,49,9.557333,0.282667,876.000000,3.000000,0
wt,wide,50,2.228333,0.048000,252.000000,1.000000,0
wt,wide,51,10.521000,0.373667,85.000000,239.000000,0
wt,wide,52,8.045333,0.288333,35.000000,1.000000,0
wt,wide,53,15.307333,0.597000,50.000000,2.000000,0
wt,wide,54,10.581000,0.373667,722.000000,1.000000,0
wt,wide,55,18.219333,0.779667,20.000000,32.000000,0
wt,wide,56,11.165667,0.408000,233.000000,1.000000,0
wt,wide,57,9.170667,0.305000,399.000000,372.000000,0
wt,wide,58,17.649000,0.729000,23.000000,16.000000,0
wt,wide,59,16.484000,0.626333,76.000000,28.000000,0
wt,wide,60,17.806333,0.751333,9.000000,13.000000,0
wt,wide,61,18.694000,0.822667,3.000000,44.000000,0
wt,wide,62,4.435667,0.080000,65.000000,1.000000,0
wt,wide,63,18.930667,0.838667,80.000000,216.000000,0
wt,wide,64,16.483667,0.667667,43.000000,404.000000,0
wt,wide,65,19.084000,0.867000,5.000000,17.000000,0
wt,wide,66,5.099333,0.148333,303.000000,6.000000,0
wt,wide,67,8.938667,0.276333,1708.000000,1736.000000,0
