half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,171,-323.000000,-349.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,172,-378.000000,-560.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,173,1372.000000,161.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,174,82.000000,-969.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,175,115.000000,474.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,176,-13.000000,-123.000000
ppo,lsm05,initial_log_std,auc_success,False,161,-0.007667,-0.202667
ppo,lsm05,initial_log_std,auc_success,False,162,-0.059333,-0.231667
ppo,lsm05,initial_log_std,auc_success,False,163,0.120333,0.045000
ppo,lsm05,initial_log_std,auc_success,False,164,0.043333,0.072000
ppo,lsm05,initial_log_std,auc_success,False,165,-0.126333,-0.133333
ppo,lsm05,initial_log_std,auc_success,False,166,0.059333,-0.046000
ppo,lsm05,initial_log_std,auc_success,False,167,0.186667,0.163000
ppo,lsm05,initial_log_std,auc_success,False,168,-0.001000,-0.118000
ppo,lsm05,initial_log_std,auc_success,False,169,0.119667,0.021000
ppo,lsm05,initial_log_std,auc_success,False,170,0.191667,0.220000
ppo,lsm05,initial_log_std,auc_success,False,171,0.042000,0.075000
ppo,lsm05,initial_log_std,auc_success,False,172,-0.188000,-0.192000
ppo,lsm05,initial_log_std,auc_success,False,173,0.055667,0.012333
ppo,lsm05,initial_log_std,auc_success,False,174,0.086667,0.079000
ppo,lsm05,initial_log_std,auc_success,False,175,0.121333,0.041333
ppo,lsm05,initial_log_std,auc_success,False,176,0.020333,-0.065667
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,161,-12.000000,-1322.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,162,-409.000000,-1758.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,163,1445.000000,421.000000
ppo,lsm05,initial_log_std,episodes_to_30pct_success,True,164,338.000000,746.000000
