half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
reading,d6,forward_pass_depth,auc_success,True,181,-0.156667,-0.216667
reading,d6,forward_pass_depth,auc_success,True,182,0.095000,0.650000
reading,d6,forward_pass_depth,auc_success,True,183,0.037333,0.513333
reading,d6,forward_pass_depth,auc_success,True,184,0.701333,0.487667
reading,d6,forward_pass_depth,auc_success,True,185,-0.554667,-0.115000
reading,d6,forward_pass_depth,auc_success,True,186,-0.049333,0.283000
reading,d6,forward_pass_depth,auc_success,True,187,-0.293333,-0.102667
reading,d6,forward_pass_depth,auc_success,True,188,-0.518333,-0.429000
reading,d6,forward_pass_depth,auc_success,True,189,-0.287000,-0.336000
reading,d6,forward_pass_depth,auc_success,True,190,0.097333,-0.027000
reading,d6,forward_pass_depth,auc_success,True,191,0.432333,0.730333
reading,d6,forward_pass_depth,auc_success,True,192,0.589667,0.678667
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,177,-264.000000,-140.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,178,-2434.000000,217.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,179,10.000000,2709.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,180,-754.000000,-843.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,181,-1864.000000,-3570.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,182,26.000000,2369.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,183,-11.000000,690.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,184,2739.000000,2807.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,185,-2668.000000,113.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,186,-70.000000,54.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,187,-2240.000000,-347.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,188,-2682.000000,-1987.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,189,-210.000000,-273.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,190,224.000000,-1229.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,191,945.000000,1111.000000
reading,d6,forward_pass_depth,episodes_to_30pct_success,False,192,1304.000000,1667.000000
reading,lsm15,initial_log_std,auc_success,True,177,-0.467333,-0.130667
reading,lsm15,initial_log_std,auc_success,True,178,-0.210667,0.102000
reading,lsm15,initial_log_std,auc_success,True,179,-0.487667,0.134667
reading,lsm15,initial_log_std,auc_success,True,180,-0.073667,-0.000333
reading,lsm15,initial_log_std,auc_success,True,181,0.061667,0.001667
reading,lsm15,initial_log_std,auc_success,True,182,-0.448000,0.107000
reading,lsm15,initial_log_std,auc_success,True,183,-0.245667,0.230333
reading,lsm15,initial_log_std,auc_success,True,184,0.145333,-0.068333
reading,lsm15,initial_log_std,auc_success,True,185,-0.356000,0.083667
reading,lsm15,initial_log_std,auc_success,True,186,-0.650333,-0.318000
reading,lsm15,initial_log_std,auc_success,True,187,-0.102333,0.088333
reading,lsm15,initial_log_std,auc_success,True,188,0.093333,0.182667
reading,lsm15,initial_log_std,auc_success,True,189,-0.173333,-0.222333
reading,lsm15,initial_log_std,auc_success,True,190,0.040000,-0.084333
reading,lsm15,initial_log_std,auc_success,True,191,-0.269000,0.029000
reading,lsm15,initial_log_std,auc_success,True,192,-0.305333,-0.216333
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,177,-329.000000,-205.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,178,-2270.000000,381.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,179,-2627.000000,72.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,180,-352.000000,-441.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,181,1345.000000,-361.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,182,-2206.000000,137.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,183,-498.000000,203.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,184,-120.000000,-52.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,185,-2539.000000,242.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,186,-1636.000000,-1512.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,187,-1421.000000,472.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,188,351.000000,1046.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,189,-998.000000,-1061.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,190,732.000000,-721.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,191,-523.000000,-357.000000
reading,lsm15,initial_log_std,episodes_to_30pct_success,False,192,-2643.000000,-2280.000000
reading,lsm05,initial_log_std,auc_success,True,177,-0.195000,0.141667
reading,lsm05,initial_log_std,auc_success,True,178,-0.359333,-0.046667
reading,lsm05,initial_log_std,auc_success,True,179,-0.682000,-0.059667
reading,lsm05,initial_log_std,auc_success,True,180,-0.047667,0.025667
reading,lsm05,initial_log_std,auc_success,True,181,0.198000,0.138000
reading,lsm05,initial_log_std,auc_success,True,182,-0.550333,0.004667
reading,lsm05,initial_log_std,auc_success,True,183,-0.457000,0.019000
reading,lsm05,initial_log_std,auc_success,True,184,0.160333,-0.053333
reading,lsm05,initial_log_std,auc_success,True,185,-0.522333,-0.082667
reading,lsm05,initial_log_std,auc_success,True,186,-0.390000,-0.057667
reading,lsm05,initial_log_std,auc_success,True,187,-0.171667,0.019000
reading,lsm05,initial_log_std,auc_success,True,188,-0.157667,-0.068333
reading,lsm05,initial_log_std,auc_success,True,189,0.032000,-0.017000
reading,lsm05,initial_log_std,auc_success,True,190,0.316667,0.192333
reading,lsm05,initial_log_std,auc_success,True,191,-0.210000,0.088000
reading,lsm05,initial_log_std,auc_success,True,192,-0.137333,-0.048333
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,177,-98.000000,26.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,178,-2748.000000,-97.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,179,-2666.000000,33.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,180,-1260.000000,-1349.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,181,1838.000000,132.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,182,-2490.000000,-147.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,183,-812.000000,-111.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,184,-51.000000,17.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,185,-2756.000000,25.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,186,-147.000000,-23.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,187,-123.000000,1770.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,188,-382.000000,313.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,189,83.000000,20.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,190,2185.000000,732.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,191,-27.000000,139.000000
reading,lsm05,initial_log_std,episodes_to_30pct_success,False,192,-634.000000,-271.000000
reading,ls00,initial_log_std,auc_success,True,177,-0.077000,0.259667
reading,ls00,initial_log_std,auc_success,True,178,-0.350000,-0.037333
reading,ls00,initial_log_std,auc_success,True,179,-0.752333,-0.130000
