condition,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
atlas,rn,92,15.345667,0.160000,2164.000000,624.000000,0
atlas,rn,93,18.947000,0.804667,83.000000,203.000000,0
atlas,rn,94,17.904333,0.719333,146.000000,243.000000,0
atlas,rn,95,16.394667,0.539667,465.000000,595.000000,0
atlas,rn,96,15.392667,0.325667,1166.000000,771.000000,0
baseline_atlas,wt,1,19.311000,0.857667,169.000000,232.000000,0
baseline_atlas,wt,2,18.864667,0.778667,288.000000,354.000000,0
baseline_atlas,wt,3,18.466000,0.712000,252.000000,298.000000,0
baseline_atlas,wt,4,19.366667,0.858333,201.000000,275.000000,0
baseline_atlas,wt,5,19.258667,0.858333,153.000000,211.000000,0
baseline_atlas,wt,6,18.359667,0.659667,290.000000,383.000000,0
baseline_atlas,wt,7,18.893333,0.708333,280.000000,328.000000,0
baseline_atlas,wt,8,18.863333,0.767667,93.000000,202.000000,0
baseline_atlas,wt,9,19.006000,0.808333,210.000000,428.000000,0
baseline_atlas,wt,10,17.537000,0.645333,336.000000,1123.000000,0
baseline_atlas,wt,11,18.366667,0.627000,450.000000,480.000000,0
baseline_atlas,wt,12,18.990000,0.776000,206.000000,244.000000,0
baseline_atlas,wt,13,18.045000,0.631000,469.000000,430.000000,0
baseline_atlas,wt,14,17.109333,0.429667,968.000000,914.000000,0
baseline_atlas,wt,15,18.542333,0.779333,99.000000,225.000000,0
baseline_atlas,wt,16,19.339333,0.833333,246.000000,303.000000,0
baseline_atlas,wt,17,16.465000,0.425333,799.000000,815.000000,0
baseline_atlas,wt,18,19.074000,0.783667,318.000000,363.000000,0
baseline_atlas,wt,19,17.461000,0.586667,442.000000,483.000000,0
baseline_atlas,wt,20,19.174667,0.843667,176.000000,240.000000,0
baseline_atlas,wt,21,18.026667,0.655667,312.000000,345.000000,0
baseline_atlas,wt,22,18.693333,0.747667,163.000000,216.000000,0
baseline_atlas,wt,23,16.514000,0.514333,419.000000,414.000000,0
baseline_atlas,wt,24,19.661000,0.925667,49.000000,183.000000,0
baseline_atlas,wt,25,18.339667,0.744667,217.000000,219.000000,0
baseline_atlas,wt,26,19.423333,0.891667,166.000000,234.000000,0
baseline_atlas,wt,27,18.121000,0.698667,128.000000,222.000000,0
baseline_atlas,wt,28,19.470333,0.900000,130.000000,225.000000,0
baseline_atlas,wt,29,18.660667,0.762333,281.000000,299.000000,0
baseline_atlas,wt,30,19.253667,0.866667,180.000000,259.000000,0
baseline_atlas,wt,31,18.914667,0.783667,485.000000,573.000000,0
baseline_atlas,wt,32,16.316333,0.512667,562.000000,918.000000,0
baseline_atlas,wt,33,18.017333,0.563000,570.000000,624.000000,0
baseline_atlas,wt,34,17.803333,0.658333,349.000000,541.000000,0
baseline_atlas,wt,35,19.391667,0.890000,142.000000,231.000000,0
baseline_atlas,wt,36,17.829000,0.654667,323.000000,405.000000,0
baseline_atlas,wt,37,18.605333,0.729667,238.000000,280.000000,0
baseline_atlas,wt,38,17.962667,0.705000,159.000000,217.000000,0
baseline_atlas,wt,39,17.345667,0.533000,653.000000,887.000000,0
baseline_atlas,wt,40,15.740667,0.511333,675.000000,840.000000,0
baseline_atlas,wt,41,19.584000,0.909000,80.000000,210.000000,0
baseline_atlas,wt,42,18.816667,0.800667,143.000000,228.000000,0
baseline_atlas,wt,43,19.469667,0.860333,153.000000,227.000000,0
baseline_atlas,wt,44,16.796667,0.513667,373.000000,322.000000,0
baseline_atlas,wt,45,17.390667,0.558333,456.000000,536.000000,0
baseline_atlas,wt,46,19.225000,0.790667,233.000000,294.000000,0
baseline_atlas,wt,47,17.867667,0.669333,236.000000,209.000000,0
baseline_atlas,wt,48,17.497333,0.647333,239.000000,331.000000,0
baseline_atlas,wt,49,19.017667,0.721667,338.000000,416.000000,0
baseline_atlas,wt,50,18.637667,0.635000,396.000000,385.000000,0
baseline_atlas,wt,51,19.112333,0.742000,255.000000,307.000000,0
baseline_atlas,wt,52,17.004667,0.558000,296.000000,309.000000,0
baseline_atlas,wt,53,17.963333,0.647333,298.000000,326.000000,0
baseline_atlas,wt,54,18.636667,0.656000,313.000000,388.000000,0
baseline_atlas,wt,55,17.609000,0.644667,278.000000,256.000000,0
baseline_atlas,wt,56,18.721667,0.739000,343.000000,458.000000,0
baseline_atlas,wt,57,18.582667,0.630333,277.000000,302.000000,0
baseline_atlas,wt,58,18.778333,0.714000,415.000000,456.000000,0
baseline_atlas,wt,59,17.984000,0.671667,270.000000,255.000000,0
baseline_atlas,wt,60,19.117667,0.808333,232.000000,413.000000,0
baseline_atlas,wt,61,18.792333,0.779000,271.000000,460.000000,0
baseline_atlas,wt,62,18.747000,0.756667,294.000000,509.000000,0
baseline_atlas,wt,63,19.232667,0.853000,214.000000,280.000000,0
baseline_atlas,wt,64,17.494333,0.625667,253.000000,253.000000,0
baseline_atlas,wt,65,18.953000,0.790333,186.000000,229.000000,0
baseline_atlas,wt,66,17.496000,0.610000,328.000000,454.000000,0
baseline_atlas,wt,67,17.709000,0.488667,487.000000,519.000000,0
baseline_atlas,wt,68,19.100667,0.792000,160.000000,246.000000,0
baseline_atlas,wt,69,19.505333,0.875000,146.000000,222.000000,0
baseline_atlas,wt,70,17.888333,0.517000,511.000000,514.000000,0
baseline_atlas,wt,71,17.070333,0.538667,450.000000,426.000000,0
baseline_atlas,wt,72,18.134000,0.578333,436.000000,456.000000,0
baseline_atlas,wt,73,18.807667,0.730667,392.000000,469.000000,0
baseline_atlas,wt,74,18.264333,0.748333,441.000000,499.000000,0
baseline_atlas,wt,75,17.000667,0.516000,500.000000,369.000000,0
baseline_atlas,wt,76,18.397000,0.622000,222.000000,269.000000,0
baseline_atlas,wt,77,16.764667,0.540333,390.000000,565.000000,0
baseline_atlas,wt,78,19.108333,0.838000,203.000000,413.000000,0
baseline_atlas,wt,79,19.453667,0.898333,179.000000,246.000000,0
baseline_atlas,wt,80,18.575000,0.742000,345.000000,390.000000,0
baseline_atlas,wt,81,17.992000,0.711000,290.000000,667.000000,0
baseline_atlas,wt,82,16.978667,0.557667,543.000000,576.000000,0
baseline_atlas,wt,83,18.236667,0.547000,433.000000,408.000000,0
baseline_atlas,wt,84,19.302667,0.854000,162.000000,256.000000,0
baseline_atlas,wt,85,19.590000,0.913667,50.000000,200.000000,0
baseline_atlas,wt,86,16.985000,0.627667,218.000000,236.000000,0
baseline_atlas,wt,87,15.913000,0.496000,208.000000,211.000000,0
baseline_atlas,wt,88,18.680667,0.773000,182.000000,312.000000,0
baseline_atlas,wt,89,16.096333,0.523000,310.000000,329.000000,0
baseline_atlas,wt,90,17.794667,0.666333,238.000000,290.000000,0
baseline_atlas,wt,91,17.806333,0.519333,736.000000,744.000000,0
baseline_atlas,wt,92,18.531333,0.619333,435.000000,494.000000,0
baseline_atlas,wt,93,19.090667,0.845667,224.000000,289.000000,0
baseline_atlas,wt,94,18.841333,0.770333,238.000000,311.000000,0
baseline_atlas,wt,95,18.740667,0.776000,226.000000,352.000000,0
