half,seed,random_wt_plateau,random_wt_floor,random_rn_plateau,random_rn_floor,random_gap_auc_success,random_gap_episodes_to_30pct_success,m1_wt_plateau,m1_wt_floor,m1_rn_plateau,m1_rn_floor,m1_gap_auc_success,m1_gap_episodes_to_30pct_success,shuffled_wt_plateau,shuffled_wt_floor,shuffled_rn_plateau,shuffled_rn_floor,shuffled_gap_auc_success,shuffled_gap_episodes_to_30pct_success,measured_interaction_auc_success,measured_interaction_episodes_to_30pct_success,placement_interaction_auc_success,placement_interaction_episodes_to_30pct_success
ppo,235,76.400000,0.000000,71.333333,0.000000,0.067667,247.000000,74.933333,0.000000,62.000000,0.000000,0.106000,-1027.000000,72.400000,0.000000,66.533333,0.000000,0.039667,-1199.000000,0.038333,-1274.000000,0.066333,172.000000
ppo,236,80.400000,0.000000,70.800000,0.000000,0.090667,301.000000,78.266667,0.000000,56.933333,0.000000,0.126333,218.000000,79.600000,0.000000,69.066667,0.000000,0.150000,1269.000000,0.035667,-83.000000,-0.023667,-1051.000000
ppo,237,77.466667,0.000000,62.000000,0.000000,0.192667,1360.000000,78.533333,0.000000,51.600000,0.000000,0.239000,1234.000000,78.666667,0.000000,80.133333,0.000000,0.010333,1032.000000,0.046333,-126.000000,0.228667,202.000000
ppo,238,71.066667,0.000000,66.000000,0.000000,0.096667,1103.000000,83.333333,0.000000,72.933333,0.000000,0.196667,1086.000000,85.733333,0.000000,75.733333,0.000000,0.113000,1047.000000,0.100000,-17.000000,0.083667,39.000000
ppo,239,73.466667,0.000000,68.400000,0.000000,0.090333,116.000000,72.400000,0.000000,71.466667,0.000000,0.052000,1320.000000,82.533333,0.000000,75.200000,0.000000,0.144000,1277.000000,-0.038333,1204.000000,-0.092000,43.000000
ppo,240,78.133333,0.133333,70.400000,0.000000,0.037667,-16.000000,67.333333,0.000000,64.800000,0.000000,-0.001000,12.000000,72.266667,0.000000,62.400000,0.000000,0.106000,366.000000,-0.038667,28.000000,-0.107000,-354.000000
ppo,241,81.066667,0.000000,66.000000,0.000000,0.074000,1061.000000,78.666667,0.000000,69.200000,0.000000,0.045333,-15.000000,67.600000,0.000000,66.400000,0.000000,0.058000,1026.000000,-0.028667,-1076.000000,-0.012667,-1041.000000
ppo,242,83.866667,0.000000,74.933333,0.000000,0.104333,1049.000000,76.533333,0.000000,71.866667,0.000000,0.095667,1264.000000,81.200000,0.000000,66.933333,0.000000,0.067000,-1139.000000,-0.008667,215.000000,0.028667,2403.000000
ppo,243,79.333333,0.000000,61.866667,0.000000,0.134667,1317.000000,74.933333,0.000000,71.866667,0.000000,0.069333,1182.000000,79.866667,0.000000,72.266667,0.000000,0.106667,1288.000000,-0.065333,-135.000000,-0.037333,-106.000000
ppo,244,70.000000,0.000000,61.600000,0.000000,0.012667,-23.000000,65.066667,0.000000,68.133333,0.000000,0.050667,1185.000000,74.266667,0.000000,63.333333,0.000000,0.090333,895.000000,0.038000,1208.000000,-0.039667,290.000000
ppo,245,81.066667,0.000000,72.133333,0.000000,0.121333,1071.000000,77.866667,0.000000,80.666667,0.000000,0.122333,882.000000,78.933333,0.000000,79.466667,0.000000,0.075333,917.000000,0.001000,-189.000000,0.047000,-35.000000
