arm,seed,window_end,success
rn_frozen,2,1750,4.40
rn_frozen,2,2000,2.80
rn_frozen,2,2250,4.40
rn_frozen,2,2500,4.80
rn_frozen,2,2750,5.60
rn_frozen,2,3000,4.00
rn_frozen,3,250,5.20
rn_frozen,3,500,3.60
rn_frozen,3,750,3.20
rn_frozen,3,1000,7.20
rn_frozen,3,1250,6.00
rn_frozen,3,1500,4.80
rn_frozen,3,1750,6.40
rn_frozen,3,2000,4.00
rn_frozen,3,2250,7.20
rn_frozen,3,2500,4.80
rn_frozen,3,2750,1.60
rn_frozen,3,3000,7.20
rn_frozen,4,250,2.80
rn_frozen,4,500,4.00
rn_frozen,4,750,1.60
rn_frozen,4,1000,4.40
rn_frozen,4,1250,3.60
rn_frozen,4,1500,2.80
rn_frozen,4,1750,2.40
rn_frozen,4,2000,6.00
rn_frozen,4,2250,2.80
rn_frozen,4,2500,3.20
rn_frozen,4,2750,1.60
rn_frozen,4,3000,4.00
rn_frozen,5,250,3.20
rn_frozen,5,500,4.00
rn_frozen,5,750,3.60
rn_frozen,5,1000,4.00
rn_frozen,5,1250,4.00
rn_frozen,5,1500,2.40
rn_frozen,5,1750,5.60
rn_frozen,5,2000,7.20
rn_frozen,5,2250,3.20
rn_frozen,5,2500,6.40
rn_frozen,5,2750,3.20
rn_frozen,5,3000,4.80
rn_frozen,6,250,15.20
rn_frozen,6,500,19.20
rn_frozen,6,750,14.00
rn_frozen,6,1000,16.80
rn_frozen,6,1250,15.20
rn_frozen,6,1500,18.40
rn_frozen,6,1750,15.60
rn_frozen,6,2000,13.60
rn_frozen,6,2250,16.80
rn_frozen,6,2500,16.00
rn_frozen,6,2750,13.20
rn_frozen,6,3000,16.40
rn_frozen,7,250,24.80
rn_frozen,7,500,22.80
rn_frozen,7,750,20.00
rn_frozen,7,1000,21.60
rn_frozen,7,1250,22.00
rn_frozen,7,1500,23.60
rn_frozen,7,1750,16.80
rn_frozen,7,2000,20.40
rn_frozen,7,2250,25.20
rn_frozen,7,2500,19.60
rn_frozen,7,2750,23.20
rn_frozen,7,3000,20.40
rn_frozen,8,250,0.00
rn_frozen,8,500,0.40
rn_frozen,8,750,0.00
rn_frozen,8,1000,0.00
rn_frozen,8,1250,0.40
rn_frozen,8,1500,0.00
rn_frozen,8,1750,0.80
rn_frozen,8,2000,0.00
rn_frozen,8,2250,0.40
rn_frozen,8,2500,0.40
rn_frozen,8,2750,0.40
rn_frozen,8,3000,0.40
rn_hebbian,1,250,13.20
rn_hebbian,1,500,19.20
rn_hebbian,1,750,15.60
rn_hebbian,1,1000,16.80
rn_hebbian,1,1250,15.60
rn_hebbian,1,1500,15.20
rn_hebbian,1,1750,10.00
rn_hebbian,1,2000,17.20
rn_hebbian,1,2250,13.60
rn_hebbian,1,2500,11.20
rn_hebbian,1,2750,12.00
rn_hebbian,1,3000,13.20
rn_hebbian,2,250,32.40
rn_hebbian,2,500,44.80
rn_hebbian,2,750,48.00
rn_hebbian,2,1000,48.40
rn_hebbian,2,1250,47.20
rn_hebbian,2,1500,38.40
rn_hebbian,2,1750,40.80
rn_hebbian,2,2000,41.60
rn_hebbian,2,2250,47.20
rn_hebbian,2,2500,45.60
rn_hebbian,2,2750,42.80
rn_hebbian,2,3000,44.00
rn_hebbian,3,250,0.00
rn_hebbian,3,500,0.00
rn_hebbian,3,750,0.00
rn_hebbian,3,1000,0.00
rn_hebbian,3,1250,0.00
rn_hebbian,3,1500,0.00
rn_hebbian,3,1750,0.00
rn_hebbian,3,2000,0.00
rn_hebbian,3,2250,0.00
rn_hebbian,3,2500,0.00
rn_hebbian,3,2750,0.00
rn_hebbian,3,3000,0.00
rn_hebbian,4,250,19.20
rn_hebbian,4,500,18.40
rn_hebbian,4,750,24.80
rn_hebbian,4,1000,23.60
rn_hebbian,4,1250,20.00
rn_hebbian,4,1500,21.60
rn_hebbian,4,1750,28.80
rn_hebbian,4,2000,25.60
rn_hebbian,4,2250,26.80
rn_hebbian,4,2500,24.80
rn_hebbian,4,2750,23.20
rn_hebbian,4,3000,24.40
rn_hebbian,5,250,8.00
rn_hebbian,5,500,4.40
rn_hebbian,5,750,4.40
rn_hebbian,5,1000,6.00
rn_hebbian,5,1250,6.80
rn_hebbian,5,1500,5.60
rn_hebbian,5,1750,7.20
rn_hebbian,5,2000,3.60
rn_hebbian,5,2250,5.60
rn_hebbian,5,2500,5.20
rn_hebbian,5,2750,5.20
rn_hebbian,5,3000,4.80
rn_hebbian,6,250,5.60
rn_hebbian,6,500,6.80
rn_hebbian,6,750,8.40
rn_hebbian,6,1000,6.00
rn_hebbian,6,1250,6.80
rn_hebbian,6,1500,5.20
rn_hebbian,6,1750,8.00
rn_hebbian,6,2000,8.40
rn_hebbian,6,2250,5.20
rn_hebbian,6,2500,6.00
rn_hebbian,6,2750,7.20
rn_hebbian,6,3000,7.20
rn_hebbian,7,250,15.20
rn_hebbian,7,500,18.00
rn_hebbian,7,750,11.60
rn_hebbian,7,1000,13.60
rn_hebbian,7,1250,12.80
rn_hebbian,7,1500,11.60
rn_hebbian,7,1750,10.80
rn_hebbian,7,2000,14.40
rn_hebbian,7,2250,17.20
rn_hebbian,7,2500,8.40
rn_hebbian,7,2750,12.40
rn_hebbian,7,3000,15.20
rn_hebbian,8,250,7.60
rn_hebbian,8,500,9.60
rn_hebbian,8,750,4.00
rn_hebbian,8,1000,6.80
rn_hebbian,8,1250,6.80
rn_hebbian,8,1500,5.60
rn_hebbian,8,1750,3.20
rn_hebbian,8,2000,4.40
rn_hebbian,8,2250,4.80
rn_hebbian,8,2500,4.40
rn_hebbian,8,2750,6.80
rn_hebbian,8,3000,5.60
rn_plastic,1,250,42.40
rn_plastic,1,500,63.60
rn_plastic,1,750,56.40
rn_plastic,1,1000,57.20
rn_plastic,1,1250,47.60
rn_plastic,1,1500,32.80
rn_plastic,1,1750,12.80
rn_plastic,1,2000,12.00
rn_plastic,1,2250,16.40
rn_plastic,1,2500,14.40
rn_plastic,1,2750,15.60
rn_plastic,1,3000,10.80
rn_plastic,2,250,38.80
rn_plastic,2,500,14.40
rn_plastic,2,750,5.20
rn_plastic,2,1000,5.20
rn_plastic,2,1250,5.60
rn_plastic,2,1500,5.60
rn_plastic,2,1750,10.40
rn_plastic,2,2000,5.60
rn_plastic,2,2250,3.60
rn_plastic,2,2500,6.00
rn_plastic,2,2750,5.60
rn_plastic,2,3000,7.20
rn_plastic,3,250,20.40
rn_plastic,3,500,14.00
rn_plastic,3,750,9.60
rn_plastic,3,1000,4.80
rn_plastic,3,1250,6.40
rn_plastic,3,1500,5.20
rn_plastic,3,1750,6.80
rn_plastic,3,2000,6.80
rn_plastic,3,2250,4.80
rn_plastic,3,2500,5.60
rn_plastic,3,2750,5.60
rn_plastic,3,3000,10.00
rn_plastic,4,250,1.20
rn_plastic,4,500,3.20
rn_plastic,4,750,0.40
rn_plastic,4,1000,3.60
rn_plastic,4,1250,2.80
rn_plastic,4,1500,2.40
rn_plastic,4,1750,2.00
rn_plastic,4,2000,1.20
rn_plastic,4,2250,3.60
rn_plastic,4,2500,2.40
rn_plastic,4,2750,2.00
rn_plastic,4,3000,2.00
rn_plastic,5,250,7.20
rn_plastic,5,500,7.60
