run,log_std_clamped_mean
208,-0.8985263705253601
209,-1.0477972030639648
210,-0.8981504440307617
211,-0.8995762467384338
212,-0.8903064131736755
213,-0.8549954891204834
214,-1.061489462852478
215,-0.7801778316497803
216,-0.9046232104301453
217,-1.0671343803405762
218,-0.7610897421836853
219,-0.9354609847068787
220,-0.7843326330184937
221,-0.9272952079772949
222,-0.8917643427848816
223,-0.9918853640556335
224,-0.8389500975608826
225,-0.8972982168197632
226,-0.9868593811988831
227,-0.8281916379928589
228,-1.0957833528518677
229,-1.1723626852035522
230,-1.0184961557388306
231,-1.198804259300232
232,-1.0287771224975586
233,-1.3402235507965088
234,-1.005594253540039
235,-0.98423832654953
236,-1.1744226217269897
237,-1.2494019269943237
238,-1.3082650899887085
239,-1.3055620193481445
240,-1.2289133071899414
241,-1.3707866668701172
242,-1.13418710231781
243,-1.2880746126174927
244,-1.0586525201797485
245,-1.244371771812439
246,-1.211371660232544
247,-1.2812389135360718
248,-1.2016018629074097
249,-1.4896223545074463
250,-1.191592812538147
251,-1.4134814739227295
252,-1.2215678691864014
253,-1.1168099641799927
254,-1.1723215579986572
255,-0.9216362237930298
256,-1.1644973754882812
257,-0.9412172436714172
258,-1.0436389446258545
259,-1.0114390850067139
260,-0.8336681127548218
261,-0.9692112803459167
262,-0.8009523153305054
263,-0.7866550087928772
264,-0.7126643657684326
265,-0.8286531567573547
266,-0.8119271993637085
267,-0.6585819125175476
268,-0.5882673859596252
269,-0.6281535625457764
270,-0.61951744556427
271,-0.5048535466194153
272,-0.5356245040893555
273,-0.46759477257728577
274,-0.5068628191947937
275,-0.6033217310905457
276,-0.5361701250076294
277,-0.6623821258544922
278,-0.5021820664405823
279,-0.48559999465942383
280,-0.33372777700424194
281,-0.2931177616119385
282,-0.2999720871448517
283,-0.25433123111724854
284,-0.2798210680484772
285,-0.2681029736995697
286,-0.20368701219558716
287,-0.21971175074577332
288,-0.19057898223400116
289,-0.18039757013320923
290,-0.18816423416137695
291,-0.17100898921489716
292,-0.1579757183790207
293,-0.28910988569259644
294,-0.2527094781398773
295,-0.22867581248283386
296,-0.3078259527683258
297,-0.3610205054283142
298,-0.3938545882701874
299,-0.5510743260383606
300,-0.46161746978759766
