arm,rate,node_noise,seed,score,modulator,mean_abs_delta,alignment,alignment_decay,alignment_floor
eprop_symmetric,0.01,,7,-0.144965,0.001797,0.00240054,0.011587,nan,0.011587
eprop_random,0.0001,,7,-0.748905,0.002182,0.00002530,0.074372,nan,0.074372
eprop_random,0.001,,7,-0.678678,0.002157,0.00027122,0.017265,nan,0.017265
eprop_random,0.01,,7,-0.688216,0.002116,0.00284859,0.014256,nan,0.014256
eprop_scalar,0.0001,,7,-1.185911,0.002141,0.00003328,-0.233171,nan,-0.233171
eprop_scalar,0.001,,7,-1.308952,0.002162,0.00031528,-0.048671,nan,-0.048671
eprop_scalar,0.01,,7,-1.294597,0.002256,0.00314677,-0.013760,nan,-0.013760
node_perturbation_annealed,0.001,0.2,8,-0.350667,0.002220,0.00022690,0.130684,0.243275,0.018093
analytic,,,8,-0.143073,nan,nan,0.433249,nan,0.433249
hebbian,,,8,-0.888715,1.000000,0.00061011,-0.031520,nan,-0.031520
three_factor,0.0001,,8,-0.817227,0.002230,0.00002169,-0.034898,nan,-0.034898
three_factor,0.001,,8,-0.708888,0.002192,0.00007698,0.016471,nan,0.016471
three_factor,0.01,,8,-0.708267,0.002192,0.00010132,-0.000410,nan,-0.000410
node_perturbation,0.001,0.01,8,-0.605714,0.002256,0.00025583,0.042632,nan,0.042632
node_perturbation,0.001,0.05,8,-0.346044,0.002304,0.00023710,0.135510,nan,0.135510
node_perturbation,0.001,0.2,8,-0.213161,0.002090,0.00022946,0.238194,nan,0.238194
eprop_symmetric,0.0001,,8,-0.233560,0.002310,0.00001971,0.664150,nan,0.664150
eprop_symmetric,0.001,,8,-0.145788,0.002292,0.00022337,0.153002,nan,0.153002
eprop_symmetric,0.01,,8,-0.152629,0.001909,0.00225750,0.023317,nan,0.023317
eprop_random,0.0001,,8,-0.517895,0.002338,0.00002482,0.226466,nan,0.226466
eprop_random,0.001,,8,-0.466352,0.002345,0.00021064,0.052961,nan,0.052961
eprop_random,0.01,,8,-0.356452,0.002111,0.00234305,0.025158,nan,0.025158
eprop_scalar,0.0001,,8,-0.887204,0.002152,0.00003565,-0.072446,nan,-0.072446
eprop_scalar,0.001,,8,-0.876254,0.002187,0.00036569,0.004239,nan,0.004239
eprop_scalar,0.01,,8,-0.888429,0.002163,0.00360861,0.003214,nan,0.003214
