cell,mode,metric,is_primary_metric,seed,interaction
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,159,829.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,160,-1260.000000
thermal,dense_mask,auc_success,0,129,0.052667
thermal,dense_mask,auc_success,0,130,-0.119333
thermal,dense_mask,auc_success,0,131,-0.051667
thermal,dense_mask,auc_success,0,132,0.037667
thermal,dense_mask,auc_success,0,133,-0.442333
thermal,dense_mask,auc_success,0,134,0.081667
thermal,dense_mask,auc_success,0,135,0.155333
thermal,dense_mask,auc_success,0,136,0.823667
thermal,dense_mask,auc_success,0,137,-0.055333
thermal,dense_mask,auc_success,0,138,0.165333
thermal,dense_mask,auc_success,0,139,-0.277333
thermal,dense_mask,auc_success,0,140,0.236000
thermal,dense_mask,auc_success,0,141,0.082333
thermal,dense_mask,auc_success,0,142,-0.437000
thermal,dense_mask,auc_success,0,143,0.295000
thermal,dense_mask,auc_success,0,144,0.293000
thermal,dense_mask,auc_success,0,145,-0.013333
thermal,dense_mask,auc_success,0,146,-0.074667
thermal,dense_mask,auc_success,0,147,0.007000
thermal,dense_mask,auc_success,0,148,-0.007333
thermal,dense_mask,auc_success,0,149,-0.078667
thermal,dense_mask,auc_success,0,150,-0.154667
thermal,dense_mask,auc_success,0,151,-0.114667
thermal,dense_mask,auc_success,0,152,0.415667
thermal,dense_mask,auc_success,0,153,-0.245000
thermal,dense_mask,auc_success,0,154,0.147333
thermal,dense_mask,auc_success,0,155,0.114667
thermal,dense_mask,auc_success,0,156,0.670000
thermal,dense_mask,auc_success,0,157,-0.097333
thermal,dense_mask,auc_success,0,158,-0.561667
thermal,dense_mask,auc_success,0,159,0.118667
thermal,dense_mask,auc_success,0,160,0.314667
thermal,dense_mask,episodes_to_30pct_success,1,129,-2377.000000
thermal,dense_mask,episodes_to_30pct_success,1,130,-241.000000
thermal,dense_mask,episodes_to_30pct_success,1,131,-121.000000
thermal,dense_mask,episodes_to_30pct_success,1,132,865.000000
thermal,dense_mask,episodes_to_30pct_success,1,133,-1680.000000
thermal,dense_mask,episodes_to_30pct_success,1,134,193.000000
thermal,dense_mask,episodes_to_30pct_success,1,135,270.000000
thermal,dense_mask,episodes_to_30pct_success,1,136,2820.000000
thermal,dense_mask,episodes_to_30pct_success,1,137,29.000000
thermal,dense_mask,episodes_to_30pct_success,1,138,710.000000
thermal,dense_mask,episodes_to_30pct_success,1,139,372.000000
thermal,dense_mask,episodes_to_30pct_success,1,140,253.000000
thermal,dense_mask,episodes_to_30pct_success,1,141,293.000000
thermal,dense_mask,episodes_to_30pct_success,1,142,-1330.000000
thermal,dense_mask,episodes_to_30pct_success,1,143,1224.000000
thermal,dense_mask,episodes_to_30pct_success,1,144,640.000000
thermal,dense_mask,episodes_to_30pct_success,1,145,-79.000000
thermal,dense_mask,episodes_to_30pct_success,1,146,-424.000000
thermal,dense_mask,episodes_to_30pct_success,1,147,-231.000000
thermal,dense_mask,episodes_to_30pct_success,1,148,186.000000
thermal,dense_mask,episodes_to_30pct_success,1,149,74.000000
thermal,dense_mask,episodes_to_30pct_success,1,150,-480.000000
thermal,dense_mask,episodes_to_30pct_success,1,151,-227.000000
thermal,dense_mask,episodes_to_30pct_success,1,152,1498.000000
thermal,dense_mask,episodes_to_30pct_success,1,153,-961.000000
thermal,dense_mask,episodes_to_30pct_success,1,154,208.000000
thermal,dense_mask,episodes_to_30pct_success,1,155,888.000000
thermal,dense_mask,episodes_to_30pct_success,1,156,1889.000000
thermal,dense_mask,episodes_to_30pct_success,1,157,-250.000000
thermal,dense_mask,episodes_to_30pct_success,1,158,-1808.000000
thermal,dense_mask,episodes_to_30pct_success,1,159,249.000000
thermal,dense_mask,episodes_to_30pct_success,1,160,1060.000000
thermal,per_neuron_fanin,auc_success,0,129,0.623667
thermal,per_neuron_fanin,auc_success,0,130,-0.122333
thermal,per_neuron_fanin,auc_success,0,131,-0.071000
thermal,per_neuron_fanin,auc_success,0,132,-0.152000
thermal,per_neuron_fanin,auc_success,0,133,-0.918667
thermal,per_neuron_fanin,auc_success,0,134,-0.117667
thermal,per_neuron_fanin,auc_success,0,135,0.090667
thermal,per_neuron_fanin,auc_success,0,136,0.098333
thermal,per_neuron_fanin,auc_success,0,137,0.045333
thermal,per_neuron_fanin,auc_success,0,138,-0.124000
thermal,per_neuron_fanin,auc_success,0,139,-0.150333
thermal,per_neuron_fanin,auc_success,0,140,0.126000
thermal,per_neuron_fanin,auc_success,0,141,-0.100667
thermal,per_neuron_fanin,auc_success,0,142,0.118333
thermal,per_neuron_fanin,auc_success,0,143,-0.070000
thermal,per_neuron_fanin,auc_success,0,144,0.034000
thermal,per_neuron_fanin,auc_success,0,145,0.029667
thermal,per_neuron_fanin,auc_success,0,146,-0.154333
thermal,per_neuron_fanin,auc_success,0,147,-0.005000
thermal,per_neuron_fanin,auc_success,0,148,0.247333
thermal,per_neuron_fanin,auc_success,0,149,-0.117000
thermal,per_neuron_fanin,auc_success,0,150,-0.070000
thermal,per_neuron_fanin,auc_success,0,151,-0.112667
thermal,per_neuron_fanin,auc_success,0,152,0.106333
thermal,per_neuron_fanin,auc_success,0,153,0.035333
thermal,per_neuron_fanin,auc_success,0,154,-0.177333
thermal,per_neuron_fanin,auc_success,0,155,0.061667
thermal,per_neuron_fanin,auc_success,0,156,0.216000
thermal,per_neuron_fanin,auc_success,0,157,0.000000
thermal,per_neuron_fanin,auc_success,0,158,-0.532333
thermal,per_neuron_fanin,auc_success,0,159,0.947667
thermal,per_neuron_fanin,auc_success,0,160,0.133333
thermal,per_neuron_fanin,episodes_to_30pct_success,1,129,-697.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,130,-59.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,131,-130.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,132,-48.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,133,-3461.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,134,-207.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,135,486.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,136,489.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,137,501.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,138,-410.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,139,899.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,140,14.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,141,492.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,142,712.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,143,-67.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,144,59.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,145,-113.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,146,-880.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,147,-77.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,148,930.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,149,-173.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,150,-59.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,151,16.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,152,50.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,153,19.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,154,-647.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,155,595.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,156,231.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,157,378.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,158,-1831.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,159,3514.000000
thermal,per_neuron_fanin,episodes_to_30pct_success,1,160,678.000000
