arm,seed,window_end,success
rn_frozen_atlas,22,250,0.80
rn_frozen_atlas,22,500,0.80
rn_frozen_atlas,22,750,2.00
rn_frozen_atlas,23,250,1.60
rn_frozen_atlas,23,500,1.20
rn_frozen_atlas,23,750,2.00
rn_frozen_atlas,24,250,10.00
rn_frozen_atlas,24,500,14.00
rn_frozen_atlas,24,750,14.40
rn_frozen_atlas,24,1000,11.33
rn_frozen_atlas,25,250,0.80
rn_frozen_atlas,25,500,1.60
rn_frozen_atlas,25,750,0.00
rn_frozen_atlas,26,250,0.00
rn_frozen_atlas,26,500,0.00
rn_frozen_atlas,26,750,0.00
rn_frozen_atlas,27,250,17.60
rn_frozen_atlas,27,500,23.20
rn_frozen_atlas,27,750,19.20
rn_frozen_atlas,27,1000,18.67
rn_frozen_atlas,28,250,0.80
rn_frozen_atlas,28,500,1.60
rn_frozen_atlas,28,750,3.00
rn_frozen_atlas,29,250,4.40
rn_frozen_atlas,29,500,6.00
rn_frozen_atlas,29,750,2.00
rn_frozen_atlas,30,250,24.80
rn_frozen_atlas,30,500,32.00
rn_frozen_atlas,30,750,21.00
rn_frozen_atlas,31,250,6.80
rn_frozen_atlas,31,500,8.00
rn_frozen_atlas,31,750,3.00
rn_frozen_atlas,32,250,12.00
rn_frozen_atlas,32,500,12.00
rn_frozen_atlas,32,750,18.00
rn_frozen_atlas,33,250,0.00
rn_frozen_atlas,33,500,0.00
rn_frozen_atlas,33,750,2.00
rn_frozen_atlas,34,250,12.40
rn_frozen_atlas,34,500,12.80
rn_frozen_atlas,34,750,14.00
rn_frozen_atlas,35,250,1.60
rn_frozen_atlas,35,500,0.80
rn_frozen_atlas,35,750,2.00
rn_frozen_atlas,36,250,1.20
rn_frozen_atlas,36,500,0.40
rn_frozen_atlas,36,750,3.00
rn_frozen_atlas,37,250,7.20
rn_frozen_atlas,37,500,8.80
rn_frozen_atlas,37,750,8.00
rn_frozen_atlas,38,250,5.60
rn_frozen_atlas,38,500,4.40
rn_frozen_atlas,38,750,4.00
rn_frozen_atlas,39,250,1.60
rn_frozen_atlas,39,500,2.40
rn_frozen_atlas,39,750,3.00
rn_frozen_atlas,40,250,8.80
rn_frozen_atlas,40,500,9.60
rn_frozen_atlas,40,750,6.00
rn_frozen_atlas,41,250,2.00
rn_frozen_atlas,41,500,4.80
rn_frozen_atlas,41,750,3.00
rn_frozen_atlas,42,250,0.40
rn_frozen_atlas,42,500,0.40
rn_frozen_atlas,42,750,1.00
rn_frozen_atlas,43,250,0.80
rn_frozen_atlas,43,500,0.40
rn_frozen_atlas,43,750,2.00
rn_frozen_atlas,44,250,2.00
rn_frozen_atlas,44,500,1.20
rn_frozen_atlas,44,750,3.00
rn_frozen_atlas,45,250,28.80
rn_frozen_atlas,45,500,25.20
rn_frozen_atlas,45,750,26.00
rn_frozen_atlas,46,250,12.00
rn_frozen_atlas,46,500,11.60
rn_frozen_atlas,46,750,8.00
rn_frozen_atlas,47,250,2.80
rn_frozen_atlas,47,500,2.40
rn_frozen_atlas,47,750,4.00
rn_frozen_atlas,48,250,3.60
rn_frozen_atlas,48,500,1.20
rn_frozen_atlas,48,750,3.00
rn_frozen_atlas,49,250,2.80
rn_frozen_atlas,49,500,4.40
rn_frozen_atlas,49,750,2.00
rn_frozen_atlas,50,250,0.00
rn_frozen_atlas,50,500,0.00
rn_frozen_atlas,50,750,0.00
rn_frozen_atlas,51,250,7.20
rn_frozen_atlas,51,500,6.00
rn_frozen_atlas,51,750,6.00
rn_frozen_atlas,52,250,20.80
rn_frozen_atlas,52,500,16.80
rn_frozen_atlas,52,750,15.00
rn_frozen_atlas,53,250,53.60
rn_frozen_atlas,53,500,51.60
rn_frozen_atlas,53,750,59.00
rn_frozen_atlas,54,250,1.20
rn_frozen_atlas,54,500,0.40
rn_frozen_atlas,54,750,1.00
rn_frozen_atlas,55,250,13.60
rn_frozen_atlas,55,500,11.20
rn_frozen_atlas,55,750,10.00
rn_frozen_atlas,56,250,2.40
rn_frozen_atlas,56,500,1.20
rn_frozen_atlas,56,750,4.00
rn_frozen_atlas,57,250,0.00
rn_frozen_atlas,57,500,0.00
rn_frozen_atlas,57,750,0.00
rn_frozen_atlas,58,250,2.40
rn_frozen_atlas,58,500,0.80
rn_frozen_atlas,58,750,2.00
rn_frozen_atlas,59,250,2.80
rn_frozen_atlas,59,500,0.80
rn_frozen_atlas,59,750,4.00
rn_frozen_atlas,60,250,4.80
rn_frozen_atlas,60,500,4.40
rn_frozen_atlas,60,750,3.00
rn_frozen_atlas,61,250,46.00
rn_frozen_atlas,61,500,42.00
rn_frozen_atlas,61,750,40.00
rn_frozen_atlas,62,250,16.00
rn_frozen_atlas,62,500,16.80
rn_frozen_atlas,62,750,19.00
rn_frozen_atlas,63,250,10.00
rn_frozen_atlas,63,500,9.60
rn_frozen_atlas,63,750,7.00
rn_frozen_atlas,64,250,10.80
rn_frozen_atlas,64,500,17.20
rn_frozen_atlas,64,750,21.00
wt_hebbian_atlas,1,250,14.00
wt_hebbian_atlas,1,500,10.40
wt_hebbian_atlas,1,750,10.00
wt_hebbian_atlas,1,1000,10.00
wt_hebbian_atlas,2,250,19.60
wt_hebbian_atlas,2,500,26.00
wt_hebbian_atlas,2,750,29.20
wt_hebbian_atlas,2,1000,31.20
wt_hebbian_atlas,2,1250,39.60
