run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
22,lstmppo_small_5agents_temporal_no_pheromone,agent_0,507,starved,2,4.5950,False,0.00,10
22,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,-6.6750,False,0.00,10
22,lstmppo_small_5agents_temporal_no_pheromone,agent_2,641,starved,3,8.1450,False,0.00,10
22,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,-5.5950,False,0.00,10
22,lstmppo_small_5agents_temporal_no_pheromone,agent_4,481,starved,1,-4.3350,False,0.00,10
23,lstmppo_small_5agents_temporal_no_pheromone,agent_0,497,starved,2,15.3850,False,0.00,10
23,lstmppo_small_5agents_temporal_no_pheromone,agent_1,641,starved,3,4.8850,False,0.00,10
23,lstmppo_small_5agents_temporal_no_pheromone,agent_2,1001,max_steps,9,17.4400,False,37.00,10
23,lstmppo_small_5agents_temporal_no_pheromone,agent_3,603,starved,3,7.6350,False,0.00,10
23,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,-12.8950,False,0.00,10
24,lstmppo_small_5agents_temporal_no_pheromone,agent_0,851,starved,7,8.4350,False,0.00,10
24,lstmppo_small_5agents_temporal_no_pheromone,agent_1,962,completed_all_food,10,23.8000,True,239.00,10
24,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,7.0050,False,0.00,10
24,lstmppo_small_5agents_temporal_no_pheromone,agent_3,752,starved,5,10.0100,False,0.00,10
24,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,-6.8350,False,0.00,10
25,lstmppo_small_5agents_temporal_no_pheromone,agent_0,541,completed_all_food,10,28.5850,True,399.00,10
25,lstmppo_small_5agents_temporal_no_pheromone,agent_1,684,starved,5,7.7500,False,0.00,10
25,lstmppo_small_5agents_temporal_no_pheromone,agent_2,641,starved,3,4.9250,False,0.00,10
25,lstmppo_small_5agents_temporal_no_pheromone,agent_3,578,starved,3,13.6000,False,0.00,10
25,lstmppo_small_5agents_temporal_no_pheromone,agent_4,641,starved,3,8.8250,False,0.00,10
26,lstmppo_small_5agents_temporal_no_pheromone,agent_0,842,completed_all_food,10,35.6600,True,359.00,10
