half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,gap_held_wt_plateau,gap_held_wt_floor,gap_held_rn_plateau,gap_held_rn_floor,gap_held_gap_auc_success,gap_held_gap_episodes_to_30pct_success,gap_junctions_auc_success,a6_move_auc_success,remainder_auc_success,gap_junctions_episodes_to_30pct_success,a6_move_episodes_to_30pct_success,remainder_episodes_to_30pct_success
reading,351,76.800000,0.000000,87.466667,0.000000,-0.151000,-126.000000,76.800000,0.000000,88.800000,0.000000,-0.117667,-101.000000,76.800000,0.000000,72.133333,0.000000,0.037000,-60.000000,0.188000,0.033333,-0.154667,66.000000,25.000000,-41.000000
reading,352,64.133333,0.000000,43.466667,0.000000,0.164667,126.000000,64.133333,0.000000,86.266667,0.000000,-0.213667,68.000000,64.133333,0.000000,53.333333,0.000000,0.030000,-138.000000,-0.134667,-0.378333,-0.243667,-264.000000,-58.000000,206.000000
reading,353,11.600000,0.000000,27.866667,0.000000,-0.171667,-2100.000000,11.600000,0.000000,60.133333,0.000000,-0.345667,-2227.000000,11.600000,0.000000,92.133333,0.000000,-0.727333,-2672.000000,-0.555667,-0.174000,0.381667,-572.000000,-127.000000,445.000000
reading,354,41.066667,0.000000,48.933333,0.000000,-0.139333,-1493.000000,41.066667,0.000000,56.666667,0.000000,-0.254333,-1801.000000,41.066667,0.000000,56.800000,0.000000,-0.190333,-1133.000000,-0.051000,-0.115000,-0.064000,360.000000,-308.000000,-668.000000
reading,355,15.733333,0.000000,12.933333,0.000000,0.088667,1431.000000,15.733333,0.000000,84.533333,0.000000,-0.533000,-1247.000000,15.733333,0.000000,1.333333,0.000000,0.181333,1431.000000,0.092667,-0.621667,-0.714333,0.000000,-2678.000000,-2678.000000
reading,356,72.133333,0.000000,86.533333,0.000000,-0.192333,-103.000000,72.133333,0.000000,64.400000,0.000000,-0.071333,-161.000000,72.133333,0.000000,72.133333,0.266667,-0.017333,-179.000000,0.175000,0.121000,-0.054000,-76.000000,-58.000000,18.000000
reading,357,41.733333,0.000000,95.066667,0.000000,-0.524000,-577.000000,41.733333,0.000000,90.666667,0.000000,-0.480000,-659.000000,41.733333,0.000000,72.800000,0.000000,-0.373000,-665.000000,0.151000,0.044000,-0.107000,-88.000000,-82.000000,6.000000
reading,358,44.666667,0.000000,62.133333,0.000000,-0.095333,13.000000,44.666667,0.000000,61.600000,0.000000,-0.217667,-325.000000,44.666667,0.000000,69.466667,0.000000,-0.238000,-294.000000,-0.142667,-0.122333,0.020333,-307.000000,-338.000000,-31.000000
reading,359,53.600000,0.000000,7.066667,0.000000,0.390667,2503.000000,53.600000,0.000000,20.933333,0.000000,0.281000,2503.000000,53.600000,0.000000,87.733333,0.000000,-0.109000,-254.000000,-0.499667,-0.109667,0.390000,-2757.000000,0.000000,2757.000000
reading,360,5.600000,0.000000,32.133333,0.000000,-0.210333,-2098.000000,5.600000,0.000000,82.666667,0.000000,-0.663000,-2688.000000,5.600000,0.000000,79.733333,0.000000,-0.666333,-2686.000000,-0.456000,-0.452667,0.003333,-588.000000,-590.000000,-2.000000
