run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
782,50,3,1010,0,1.0000,0.0000,0,0.8283,0,0,0.1289,0.0000
783,46,5,1052,0,0.8000,0.0696,0,0.8441,0,0,0.0526,0.0000
784,46,6,662,0,0.8000,0.0696,0,0.7338,0,0,0.1033,0.0000
785,48,6,888,0,0.8000,0.0333,0,0.8023,0,0,0.0941,0.0000
786,49,6,1179,0,0.8000,0.0163,0,0.8525,0,0,0.0345,0.0000
787,50,4,854,0,1.0000,0.0000,0,0.8093,0,0,0.0986,0.0000
788,50,8,962,0,1.0000,0.0000,0,0.8130,0,0,0.0623,0.0000
789,50,6,964,0,1.0000,0.0000,0,0.8278,0,0,0.0729,0.0000
790,50,8,951,0,1.0000,0.0000,0,0.8433,0,0,0.0599,0.0000
791,50,7,1003,0,1.0000,0.0000,0,0.8479,0,0,0.0325,0.0000
792,50,3,847,0,1.0000,0.0000,0,0.7745,0,0,0.0697,0.0000
793,48,8,974,0,0.8000,0.0333,0,0.8518,0,0,0.0854,0.0000
794,50,3,723,0,1.0000,0.0000,0,0.7466,0,0,0.0505,0.0000
795,50,4,762,0,1.0000,0.0000,0,0.7580,0,0,0.0728,0.0000
796,49,7,1047,0,0.8000,0.0163,0,0.8477,0,0,0.0560,0.0000
797,50,3,861,0,1.0000,0.0000,0,0.8024,0,0,0.0561,0.0000
