run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
2707,47,8,1090,0,0.6000,0.0426,0,0.8600,0,0,0.0928,0.0000
2708,49,7,939,0,0.8000,0.0163,0,0.8220,0,0,0.0683,0.0000
2709,50,6,815,0,1.0000,0.0000,0,0.7874,0,0,0.1224,0.0000
2710,50,2,1043,0,1.0000,0.0000,0,0.8362,0,0,0.0406,0.0000
2711,48,4,1136,0,0.6000,0.0250,0,0.8409,0,0,0.0586,0.0000
2712,45,4,981,0,0.6000,0.0800,0,0.8255,0,0,0.0535,0.0000
2713,47,4,1215,0,0.6000,0.0426,0,0.8295,0,0,0.0500,0.0000
2714,48,4,1082,0,0.8000,0.0333,0,0.8402,0,0,0.1037,0.0000
2715,48,6,938,0,0.8000,0.0333,0,0.8494,0,0,0.0619,0.0000
2716,50,6,959,0,1.0000,0.0000,0,0.8286,0,0,0.1031,0.0000
2717,50,9,1031,0,1.0000,0.0000,0,0.8492,0,0,0.0776,0.0000
2718,48,5,1038,0,0.6000,0.0250,0,0.8202,0,0,0.0484,0.0000
2719,46,8,1132,0,0.8000,0.0696,0,0.8585,0,0,0.0870,0.0000
2720,50,5,837,0,1.0000,0.0000,0,0.8391,0,0,0.0414,0.0000
2721,46,8,1172,0,0.8000,0.0696,0,0.8860,0,0,0.1041,0.0000
2722,50,8,1021,0,1.0000,0.0000,0,0.8492,0,0,0.1157,0.0000
2723,50,4,965,0,1.0000,0.0000,0,0.8096,0,0,0.0831,0.0000
2724,50,4,950,0,1.0000,0.0000,0,0.7977,0,0,0.0737,0.0000
2725,50,3,970,0,1.0000,0.0000,0,0.8149,0,0,0.0864,0.0000
2726,50,6,981,0,1.0000,0.0000,0,0.7984,0,0,0.0826,0.0000
2727,46,8,1278,0,0.6000,0.0609,0,0.8476,0,0,0.0687,0.0000
2728,47,3,1300,0,0.4000,0.0255,0,0.8425,0,0,0.1002,0.0000
2729,44,8,1224,0,0.4000,0.0818,0,0.8707,0,0,0.0732,0.0000
2730,47,7,1131,0,0.6000,0.0426,0,0.8211,0,0,0.0488,0.0000
2731,47,13,1271,0,0.6000,0.0426,0,0.8427,0,0,0.0462,0.0000
2732,47,4,905,0,0.8000,0.0511,0,0.8413,0,0,0.0764,0.0000
2733,47,4,1186,0,0.8000,0.0511,0,0.8606,0,0,0.0406,0.0000
2734,50,3,966,0,1.0000,0.0000,0,0.8208,0,0,0.1011,0.0000
2735,48,3,1152,0,0.6000,0.0250,0,0.8916,0,0,0.0777,0.0000
2736,44,8,1267,0,0.8000,0.1091,0,0.8664,0,0,0.0704,0.0000
2737,50,4,768,0,1.0000,0.0000,0,0.8313,0,0,0.0857,0.0000
2738,48,6,1085,0,0.8000,0.0333,0,0.8576,0,0,0.0717,0.0000
