run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
3281,49,7,1099,0,0.8000,0.0163,0,0.7886,0,0,0.0887,0.0000
3282,43,8,1283,0,0.4000,0.0744,0,0.8743,0,0,0.0519,0.0000
3283,46,7,1211,0,0.6000,0.0609,0,0.8764,0,0,0.0412,0.0000
3284,44,6,1296,0,0.6000,0.0818,0,0.8705,0,0,0.0494,0.0000
3285,50,6,933,0,1.0000,0.0000,0,0.7901,0,0,0.0619,0.0000
3286,50,7,1015,0,1.0000,0.0000,0,0.8312,0,0,0.0865,0.0000
3287,50,9,838,0,1.0000,0.0000,0,0.8167,0,0,0.1206,0.0000
3288,50,11,827,0,1.0000,0.0000,0,0.8077,0,0,0.1113,0.0000
3289,50,5,775,0,1.0000,0.0000,0,0.7394,0,0,0.1086,0.0000
3290,47,7,959,0,0.6000,0.0426,0,0.7889,0,0,0.0457,0.0000
3291,47,3,921,0,0.8000,0.0511,0,0.7941,0,0,0.0586,0.0000
3292,45,8,1086,0,0.6000,0.0711,0,0.8529,0,0,0.0922,0.0000
3293,50,8,1070,0,1.0000,0.0000,0,0.8430,0,0,0.0983,0.0000
3294,50,5,924,0,1.0000,0.0000,0,0.7929,0,0,0.0403,0.0000
3295,46,1,890,0,0.8000,0.0696,0,0.7645,0,0,0.1279,0.0000
3296,46,6,1153,0,0.6000,0.0609,0,0.8554,0,0,0.1057,0.0000
3297,50,8,1053,0,1.0000,0.0000,0,0.8203,0,0,0.0592,0.0000
3298,46,5,939,0,0.6000,0.0609,0,0.8253,0,0,0.0983,0.0000
3299,50,2,753,0,1.0000,0.0000,0,0.7744,0,0,0.0840,0.0000
3300,50,4,1000,0,1.0000,0.0000,0,0.7937,0,0,0.0849,0.0000
3301,47,5,931,0,0.6000,0.0426,0,0.7531,0,0,0.0876,0.0000
3302,49,4,1119,0,0.8000,0.0163,0,0.7871,0,0,0.1189,0.0000
3303,40,4,1049,0,0.6000,0.1800,0,0.8675,0,0,0.1450,0.0000
3304,46,5,1146,0,0.6000,0.0609,0,0.8212,0,0,0.0451,0.0000
3305,50,4,795,0,1.0000,0.0000,0,0.8081,0,0,0.0551,0.0000
3306,48,6,1275,0,0.8000,0.0333,0,0.8652,0,0,0.0366,0.0000
3307,46,3,1108,0,0.8000,0.0696,0,0.8731,0,0,0.1029,0.0000
3308,45,7,1236,0,0.6000,0.0711,0,0.8763,0,0,0.0587,0.0000
3309,50,9,1196,0,1.0000,0.0000,0,0.8337,0,0,0.0664,0.0000
3310,43,9,1269,0,0.6000,0.1023,0,0.8690,0,0,0.1000,0.0000
3311,45,7,1120,0,0.6000,0.0711,0,0.8908,0,0,0.0539,0.0000
3312,50,7,1025,0,1.0000,0.0000,0,0.8505,0,0,0.0919,0.0000
3313,50,6,952,0,1.0000,0.0000,0,0.8451,0,0,0.1428,0.0000
3314,50,8,925,0,1.0000,0.0000,0,0.8512,0,0,0.0898,0.0000
3315,48,8,988,0,0.8000,0.0333,0,0.8712,0,0,0.1249,0.0000
3316,48,7,984,0,0.8000,0.0333,0,0.8344,0,0,0.1391,0.0000
3317,48,7,1151,0,0.6000,0.0250,0,0.8482,0,0,0.1335,0.0000
3318,49,4,988,0,0.8000,0.0163,0,0.7965,0,0,0.1348,0.0000
3319,46,6,1101,0,0.4000,0.0435,0,0.8395,0,0,0.1143,0.0000
3320,45,6,1278,0,0.6000,0.0711,0,0.8808,0,0,0.1078,0.0000
3321,50,6,871,0,1.0000,0.0000,0,0.7948,0,0,0.0595,0.0000
3322,42,7,1297,0,0.2000,0.0762,0,0.8612,0,0,0.0941,0.0000
3323,50,4,973,0,1.0000,0.0000,0,0.8002,0,0,0.0815,0.0000
3324,50,5,1045,0,1.0000,0.0000,0,0.8598,0,0,0.0896,0.0000
3325,45,3,1093,0,0.6000,0.0711,0,0.8847,0,0,0.0908,0.0000
