run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1427,86,18,2401,0,0.8000,0.1326,0,0.7920,0,0,0.1617,0.0000
1428,78,17,2736,0,0.2000,0.1282,0,0.7982,0,0,0.0915,0.0000
1429,79,15,2614,0,0.3000,0.1430,0,0.8202,0,0,0.1506,0.0000
1430,72,17,2564,0,0.4000,0.2194,0,0.8328,0,0,0.1744,0.0000
1431,65,10,2785,0,0.1000,0.2108,0,0.8651,0,0,0.2154,0.0000
1432,75,17,2514,0,0.4000,0.1960,0,0.7926,0,0,0.1161,0.0000
1433,72,18,2558,0,0.5000,0.2472,0,0.8238,0,0,0.1152,0.0000
1434,67,14,2712,0,0.3000,0.2284,0,0.8700,0,0,0.1101,0.0000
1435,70,18,2575,0,0.2000,0.2086,0,0.8308,0,0,0.0896,0.0000
1436,80,16,2446,0,0.4000,0.1500,0,0.8062,0,0,0.1152,0.0000
1437,69,10,2696,0,0.2000,0.2130,0,0.8445,0,0,0.0545,0.0000
1438,77,17,2686,0,0.3000,0.1519,0,0.8065,0,0,0.0932,0.0000
1439,74,22,2606,0,0.4000,0.2081,0,0.8250,0,0,0.1437,0.0000
1440,81,17,2479,0,0.5000,0.1346,0,0.8063,0,0,0.0972,0.0000
1441,74,14,2312,0,0.5000,0.2324,0,0.7976,0,0,0.1132,0.0000
1442,82,16,2484,0,0.5000,0.1488,0,0.8106,0,0,0.1841,0.0000
1443,90,19,2291,0,0.7000,0.0911,0,0.7849,0,0,0.1080,0.0000
1444,78,7,2692,0,0.4000,0.1615,0,0.8090,0,0,0.0950,0.0000
1445,68,24,2795,0,0.1000,0.1765,0,0.8441,0,0,0.1373,0.0000
1446,89,13,2612,0,0.6000,0.0775,0,0.7666,0,0,0.1088,0.0000
1447,83,14,2371,0,0.5000,0.1482,0,0.7829,0,0,0.2200,0.0000
1448,84,13,2155,0,0.6000,0.1452,0,0.7876,0,0,0.1852,0.0000
1449,84,11,2399,0,0.5000,0.1357,0,0.7606,0,0,0.0647,0.0000
1450,81,16,2542,0,0.5000,0.1444,0,0.8154,0,0,0.0933,0.0000
1451,79,17,2646,0,0.5000,0.1658,0,0.7875,0,0,0.0738,0.0000
1452,84,12,2631,0,0.5000,0.1238,0,0.8072,0,0,0.1407,0.0000
1453,80,14,2651,0,0.5000,0.1425,0,0.8012,0,0,0.0846,0.0000
1454,77,15,2558,0,0.5000,0.1623,0,0.8067,0,0,0.0827,0.0000
1455,85,22,2327,0,0.7000,0.1400,0,0.8079,0,0,0.1917,0.0000
1456,86,17,2663,0,0.5000,0.1070,0,0.7792,0,0,0.0842,0.0000
1457,70,21,2474,0,0.3000,0.2229,0,0.8312,0,0,0.1281,0.0000
1458,90,10,2380,0,0.6000,0.0844,0,0.7937,0,0,0.1007,0.0000
1459,81,18,2522,0,0.5000,0.1617,0,0.8131,0,0,0.1643,0.0000
1460,82,19,2430,0,0.5000,0.1512,0,0.8067,0,0,0.1329,0.0000
1461,94,16,2565,0,0.7000,0.0447,0,0.7626,0,0,0.0810,0.0000
1462,76,14,2604,0,0.4000,0.1737,0,0.7950,0,0,0.1153,0.0000
1463,85,12,2547,0,0.5000,0.1188,0,0.7944,0,0,0.1021,0.0000
1464,78,13,2441,0,0.4000,0.1897,0,0.7974,0,0,0.1551,0.0000
1465,84,24,2477,0,0.6000,0.1238,0,0.7997,0,0,0.1176,0.0000
1466,79,16,2411,0,0.5000,0.1759,0,0.8211,0,0,0.2056,0.0000
1467,82,17,2547,0,0.5000,0.1463,0,0.7998,0,0,0.2189,0.0000
1468,83,15,2654,0,0.6000,0.1313,0,0.7990,0,0,0.0758,0.0000
1469,77,14,2545,0,0.3000,0.1545,0,0.8120,0,0,0.1064,0.0000
1470,74,15,2182,0,0.7000,0.2514,0,0.7874,0,0,0.1450,0.0000
1471,77,14,2692,0,0.3000,0.1545,0,0.7892,0,0,0.1208,0.0000
1472,75,20,2871,0,0.1000,0.0947,0,0.8173,0,0,0.0791,0.0000
1473,83,25,2523,0,0.6000,0.1530,0,0.7927,0,0,0.1882,0.0000
1474,77,24,2340,0,0.5000,0.1935,0,0.8248,0,0,0.0660,0.0000
1475,78,25,2403,0,0.5000,0.1846,0,0.8206,0,0,0.1068,0.0000
1476,80,19,2588,0,0.4000,0.1225,0,0.8181,0,0,0.0883,0.0000
1477,82,22,2427,0,0.6000,0.1634,0,0.7931,0,0,0.1733,0.0000
1478,91,18,2243,0,0.8000,0.0846,0,0.7858,0,0,0.1298,0.0000
1479,67,17,2551,0,0.3000,0.2642,0,0.8375,0,0,0.1388,0.0000
1480,83,15,2691,0,0.4000,0.1289,0,0.7985,0,0,0.1031,0.0000
1481,91,18,2324,0,0.7000,0.0758,0,0.8037,0,0,0.0749,0.0000
1482,85,12,2471,0,0.5000,0.1094,0,0.7947,0,0,0.1259,0.0000
1483,78,21,2626,0,0.3000,0.1667,0,0.8373,0,0,0.1503,0.0000
1484,77,19,2461,0,0.5000,0.1831,0,0.8251,0,0,0.1148,0.0000
1485,73,18,2592,0,0.4000,0.1932,0,0.8285,0,0,0.1038,0.0000
1486,83,22,2668,0,0.4000,0.1193,0,0.7874,0,0,0.1026,0.0000
1487,71,13,2325,0,0.5000,0.2746,0,0.8439,0,0,0.1834,0.0000
1488,84,14,2753,0,0.3000,0.0929,0,0.8172,0,0,0.0677,0.0000
1489,81,13,2459,0,0.5000,0.1395,0,0.8297,0,0,0.1037,0.0000
1490,78,16,2544,0,0.5000,0.1718,0,0.7857,0,0,0.1452,0.0000
1491,75,23,2593,0,0.3000,0.1667,0,0.8310,0,0,0.1236,0.0000
1492,77,21,2471,0,0.4000,0.1987,0,0.8156,0,0,0.1228,0.0000
1493,80,15,2644,0,0.5000,0.1675,0,0.8060,0,0,0.1409,0.0000
1494,87,21,2582,0,0.5000,0.0931,0,0.8053,0,0,0.0505,0.0000
1495,74,22,2817,0,0.2000,0.1297,0,0.8453,0,0,0.0840,0.0000
1496,84,16,2413,0,0.5000,0.1310,0,0.8258,0,0,0.1054,0.0000
1497,88,20,2532,0,0.5000,0.0909,0,0.7857,0,0,0.0847,0.0000
1498,86,11,2604,0,0.4000,0.0860,0,0.7718,0,0,0.2056,0.0000
1499,79,15,2150,0,0.6000,0.2013,0,0.8022,0,0,0.1369,0.0000
1500,84,20,2706,0,0.4000,0.1048,0,0.8296,0,0,0.1009,0.0000
1501,95,13,2489,0,0.7000,0.0389,0,0.7773,0,0,0.0755,0.0000
1502,83,17,2398,0,0.5000,0.1458,0,0.8310,0,0,0.0480,0.0000
1503,80,15,2219,0,0.6000,0.1775,0,0.8117,0,0,0.2131,0.0000
1504,85,24,2615,0,0.5000,0.1118,0,0.8249,0,0,0.0931,0.0000
1505,85,14,2579,0,0.5000,0.0976,0,0.7878,0,0,0.1137,0.0000
1506,82,22,2479,0,0.5000,0.1293,0,0.7994,0,0,0.1206,0.0000
1507,87,20,2625,0,0.5000,0.0977,0,0.8027,0,0,0.1369,0.0000
1508,73,22,2673,0,0.4000,0.2178,0,0.8189,0,0,0.2249,0.0000
1509,85,15,2465,0,0.6000,0.1259,0,0.8282,0,0,0.1231,0.0000
1510,81,21,2661,0,0.4000,0.1272,0,0.8317,0,0,0.1226,0.0000
1511,83,21,2057,0,0.7000,0.1578,0,0.8225,0,0,0.0904,0.0000
1512,94,8,2692,0,0.7000,0.0511,0,0.7801,0,0,0.1553,0.0000
1513,83,15,2366,0,0.5000,0.1313,0,0.8121,0,0,0.1785,0.0000
1514,86,9,2736,0,0.4000,0.0860,0,0.8228,0,0,0.0768,0.0000
1515,86,23,2560,0,0.6000,0.1093,0,0.8073,0,0,0.0970,0.0000
1516,65,19,2568,0,0.3000,0.3092,0,0.8491,0,0,0.2729,0.0000
1517,77,21,2723,0,0.3000,0.1701,0,0.8415,0,0,0.1464,0.0000
1518,83,24,2611,0,0.5000,0.1337,0,0.8111,0,0,0.1434,0.0000
1519,89,20,2105,0,0.7000,0.1045,0,0.7622,0,0,0.1809,0.0000
1520,84,19,2617,0,0.5000,0.1262,0,0.8165,0,0,0.0619,0.0000
1521,82,18,2316,0,0.5000,0.1561,0,0.8177,0,0,0.2366,0.0000
1522,82,15,2659,0,0.6000,0.1585,0,0.8084,0,0,0.1368,0.0000
1523,89,23,2664,0,0.5000,0.0753,0,0.8072,0,0,0.0780,0.0000
1524,97,21,2294,0,0.8000,0.0258,0,0.7823,0,0,0.1302,0.0000
1525,91,24,2307,0,0.7000,0.0736,0,0.7909,0,0,0.1056,0.0000
1526,79,21,2484,0,0.4000,0.1582,0,0.8220,0,0,0.0946,0.0000
